TimeStamp: - 1551488539887 and message received from server World,  length 5, LED status 0
TimeStamp: - 1551489615409 and message sent from client to server World,  length 5, LED status 0
TimeStamp: - 1551489616410 and message sent from client to server I am user,  length 9, LED status 1
TimeStamp: - 1551489617411 and message sent from client to server Hello,  length 5, LED status 0
TimeStamp: - 1551489618414 and message sent from client to server I am user,  length 9, LED status 0
TimeStamp: - 1551489619414 and message sent from client to server World,  length 5, LED status 0
TimeStamp: - 1551489697621 and message received from server World,  length 5, LED status 0
TimeStamp: - 1551489698623 and message received from server I am user,  length 9, LED status 1
TimeStamp: - 1551489699625 and message received from server I am user,  length 9, LED status 0
TimeStamp: - 1551489700627 and message received from server World,  length 5, LED status 0
TimeStamp: - 1551489793156 and message received from server World,  length 5, LED status 0
TimeStamp: - 1551489794160 and message received from server I am user,  length 9, LED status 1
TimeStamp: - 1551489795161 and message received from server I am user,  length 9, LED status 0
TimeStamp: - 1551489796162 and message received from server World,  length 5, LED status 0
TimeStamp: - 1551489897188 and message received from server World,  length 5, LED status 0
TimeStamp: - 1551489898188 and message received from server I am user,  length 9, LED status 1
TimeStamp: - 1551489899190 and message received from server I am user,  length 9, LED status 0
TimeStamp: - 1551489900192 and message received from server World,  length 5, LED status 0
